Persecution at School	Sukuu Ɔtae
3 : 1 , 13 - 18 .	3 : 1 , 13 - 18 .
“ We love you .	Ɔkae sɛ : “ Yɛdɔ wo .
Deportation	Wotwaa Yɛn Asu
8 : 35 - 39 .	8 : 35 - 39 .
Reaching My Goals	Sɛnea Miduu Me Botae Ahorow Ho
We have nothing .	Yenni hwee .
We did not compromise . ”	Yɛannyae yɛn gyidi mu . ”
Gilead and Beyond	Gilead ne Ɛno Akyi
What an experience !	Asɛm bɛn ni !
68 : 19 .	68 : 19 .
116 : 12 .	116 : 12 .
[ Blurb on page 6 ]	[ Asɛm a wɔafa aka wɔ kratafa 6 ]
[ Picture on page 5 ]	[ Kratafa 5 mfonini ]
[ Picture on page 5 ]	[ Kratafa 5 mfonini ]
[ Picture on page 5 ]	[ Kratafa 5 mfonini ]
Not necessarily .	Dabida .
5 : 9 , 10 .	5 : 9 , 10 .
11 : 36 - 40 .	11 : 36 - 40 .
56 : 3 - 5 .	56 : 3 - 5 .
4 : 4 , 10 .	4 : 4 , 10 .
Ways to Enrich Your Life	Akwan a Wobɛfa so Anya Anigye
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
2 : 7 , 8 .	2 : 7 , 8 .
25 : 14 ; Jas .	25 : 14 ; Yak .
2 : 23 ; 4 : 8 .	2 : 23 ; 4 : 8 .
God Will Not Forget	Onyankopɔn Werɛ Remfi
6 : 10 .	6 : 10 .
[ Footnote ]	[ Ase hɔ asɛm ]
[ Blurb on page 25 ]	[ Asɛm a wɔafa aka wɔ kratafa 18 ]
[ Picture on page 26 ]	[ Kratafa 26 mfonini ]
[ Picture on page 27 ]	[ Kratafa 17 mfonini ]
What Is Delegating ?	Adwuma a Wɔde Hyɛ Afoforo Nsa Kyerɛ Dɛn ?
Why Delegate ?	Dɛn Nti na Ɛsɛ sɛ Wɔde Adwuma Hyɛ Afoforo Nsa ?
3 : 10 .	3 : 10 .
Why Some Hesitate	Nea Enti a Ebinom Twentwɛn Wɔn Nan Ase
How to Delegate	Sɛnea Wɔde Adwuma Hyɛ Afoforo Nsa
Yet , more is involved .	Nanso , pii ka ho .
[ Box on page 29 ]	[ Adaka wɔ kratafa 27 ]
DELEGATING IS	ADWUMA A WƆDE HYƐ AFOFORO NSA YƐ
• a way to train others	• ɔkwan a wɔfa so tete afoforo
[ Box on page 30 ]	[ Kratafa 30 adaka ]
HOW TO DELEGATE	SƐNEA WƆDE ADWUMA HYƐ AFOFORO NSA
[ Pictures on page 31 ]	[ Kratafa 26 mfonini ahorow ]
Questions From Readers	Nsemmisa a Efi Akenkanfo Hɔ
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
78 : 2 .	78 : 2 .
Table of Contents	Emu Nsɛm
June 15 , 2009	June 15 , 2009
Study Edition	Nea Adesua Nsɛm Wom
August 3 - 9 , 2009	August 3 - 9 , 2009
PAGE 7	KRATAFA 7
August 10 - 16 , 2009	August 10 - 16 , 2009
PAGE 11	KRATAFA 11
August 17 - 23 , 2009	August 17 - 23 , 2009
PAGE 16	KRATAFA 16
August 24 - 30 , 2009	August 24 - 30 , 2009
PAGE 20	KRATAFA 20
Purpose of Study Articles	Adesua Nsɛm no Atirimpɔw
ALSO IN THIS ISSUE :	NEA ƐWƆ EYI MU NSO :
PAGE 3	KRATAFA 3
PAGE 25	KRATAFA 25
PAGE 28	KRATAFA 28
Questions From Readers	Nsemmisa a Efi Akenkanfo Hɔ
PAGE 32	KRATAFA 32
Is that true of you ?	So saa na wote ?
What can help ?	Dɛn na ebetumi aboa ?
Ask the Author for Help	Srɛ Onyankopɔn Ma Ɔmmoa Wo
CAN you relate to Ninfa ?	SO Ninfa tebea yi bi ato wo pɛn ?
Many people can .	Nnipa pii ahyia tebea a ɛte saa .
How so ?	Ɔkwan bɛn so ?
Read With an Open Mind	Fa Adwempa Kenkan
Accept Help From Others	Ma Afoforo Mmoa Wo
Help From Whom ?	Hena Hɔ na Wubetumi Anya Mmoa ?
Valvanera agrees .	Valvanera gye saa asɛm no tom .
[ Footnote ]	[ Ase hɔ asɛm ]
• Where are the dead ?	• Ɛhe na awufo wɔ ?
The Bible Changes Lives	Bible Tumi Sesa Nnipa
PROFILE	NE HO NSƐM
AGE : 40	MFE : 40
PROFILE	NE HO NSƐM
NAME : DENIS BUSIGIN	EDIN : DENIS BUSIGIN
AGE : 30	MFE : 30
I began taking drugs .	Mifii ase nom nnubɔne .
PROFILE	NE HO NSƐM
AGE : 31	MFE : 31
HISTORY : STREET FIGHTER	SƐNEA NA ƆTE : NTƆKWAPƐFO
[ Blurb on page 24 ]	[ Asɛm a wɔafa aka wɔ kratafa 17 ]
Table of Contents	Emu Nsɛm
July 1 , 2009	October – December , 2009
IN THIS ISSUE	NEA ƐWƆ EYI MU
Ask the Author for Help	Srɛ Onyankopɔn Ma Ɔmmoa Wo
Read With an Open Mind	Fa Adwempa Kenkan
Accept Help From Others	Ma Afoforo Mmoa Wo
22 Did You Know ?	21 So Woma Onyankopɔn Kasa Kyerɛ Wo Da Biara ?
The Bible Changes Lives	Bible Tumi Sesa Nnipa
PAGE 23	KRATAFA 23
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
7 : 28 ; John 7 : 46 .	7 : 28 ; Yoh . 7 : 46 .
A Key Quality ​ — Love	Ɔdɔ ne Su a Ɛho Hia Sen Biara
What about us ?	Na yɛn nso ɛ ?
Let us see .	Ma yɛnhwɛ .
We Must Love Jehovah	Ɛsɛ sɛ Yɛdɔ Yehowa
The result ?	Dɛn na efi mu bae ?
1 : 23 .	1 : 23 .
How can we do that ?	Yɛbɛyɛ dɛn atumi ayɛ saa ?
We Must Love People	Ɛsɛ sɛ Yɛdɔ Nnipa
2 : 7 , 8 .	2 : 7 , 8 .
How Would You Answer ?	Wubebua Dɛn ?
love for God ?	yenya Onyankopɔn ho dɔ ?
love for what we teach ?	yɛma nea yɛkyerɛkyerɛ no ho hia yɛn ?
[ Picture on page 15 ]	[ Kratafa 15 mfonini ]
[ Picture on page 18 ]	[ Kratafa 16 mfonini ]
2 : 2 .	2 : 2 .
This is to be expected .	Ɛnyɛ yɛn nwonwa sɛ wɔyɛ saa .
How can we do the same ?	Yɛbɛyɛ dɛn atumi ayɛ saa ara ?
Why so ?	Dɛn nti na ɛte saa ?
5 : 21 - 24 .	5 : 21 - 24 .
Devastating plagues .	Ɔkae sɛ ɔhaw ahorow a ɛyɛ hu bɛba .
And what did he demand ?	Dɛn na ɔkae sɛ Farao nyɛ ?
Did Moses need boldness ?	So na Mose hia akokoduru ?
Absolutely ! ​ — Num .	Yiw , na ohia bi papaapa ! — Num .
12 : 3 ; Heb .	12 : 3 ; Heb .
11 : 27 .	11 : 27 .
9 , 10 .	9 , 10 .
23 : 27 , 28 .	23 : 27 , 28 .
22 : 36 - 40 .	22 : 36 - 40 .
The result ?	Dɛn na efi mu bae ?
‘ I read it , ’ he said .	Ɔkae sɛ , ‘ Makenkan kratawa no .
Look to the future .	Fa w’ani to nea ɛbɛba daakye no so .
13 : 6 .	13 : 6 .
How Would You Respond ?	Wubebua Dɛn ?
Jesus Christ ?	Yesu Kristo hɔ ?
the early Christians ?	tete Kristofo no hɔ ?
fellow Christians today ?	yɛn mfɛfo Kristofo a wɔwɔ hɔ nnɛ hɔ ?
[ Picture on page 21 ]	[ Kratafa 17 mfonini ]
[ Picture on page 23 ]	[ Kratafa 24 mfonini ]
“ GOD is love . ”	“ ONYANKOPƆN ne dɔ . ”
That is true .	Ɛno yɛ nokware .
* ​ — 2 Tim .	* — 2 Tim .
3 : 1 , 3 .	3 : 1 , 3 .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
6 : 1 - 4 .	6 : 1 - 4 .
Why not ?	Dɛn ntia ?
5 : 33 ; Heb .	5 : 33 ; Heb .
13 : 4 .	13 : 4 .
Love Among Friends	Nnamfo Ntam Dɔ
15 : 33 .	15 : 33 .
A Unique Bond of Love !	Ɔdɔ Soronko !
*	*
[ Footnotes ]	[ Ase hɔ asɛm ]
[ Blurb on page 12 ]	[ Asɛm a wɔafa aka wɔ kratafa 12 ]
As told by Edwin Ridgwell	Sɛnea Edwin Ridgwell ka kyerɛe
12 : 1 .	12 : 1 .
It changed his life .	Ɔkasa no sesaa n’asetena .
22 : 6 .	22 : 6 .
F .	F .
I was 18 years old .	Saa bere no na madi mfe 18 .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Undercover Operations	Yɛyɛɛ Adwuma wɔ Esum Ase
I was shocked .	Me ho dwiriw me .
11 : 1 .	11 : 1 .
71 : 17 , 18 .	71 : 17 , 18 .
[ Map on page 25 ]	[ Asase mfonini wɔ kratafa 25 ]
ESTONIA	ESTONIA
TALLINN	TALLINN
Gulf of Riga	Riga Faka
LATVIA	LATVIA
RIGA	RIGA
LITHUANIA	LITHUANIA
VILNIUS	VILNIUS
Kaunas	Kaunas
[ Picture on page 26 ]	[ Kratafa 26 mfonini ]
[ Picture on page 26 ]	[ Kratafa 26 mfonini ]
Family Worship	Abusua Som
Congregation Meetings	Asafo Nhyiam Ahorow
Worth All the Effort	Mmɔdenbɔ no Fata Paa
[ Picture on page 28 ]	[ Mfonini wɔ kratafa 14 ]
Did she succeed ?	So otumi dii adanse no ?
She gladly accepted it .	Ɔde anigye gyei .
What was the response ?	Wogyee ɔfrɛ no so dɛn ?
11 : 6 .	11 : 6 .
[ Map on page 32 ]	[ Asase mfonini wɔ kratafa 32 ]
RUSSIA	RUSSIA
TUVA REPUBLIC	TUVA REPUBLIC
You can do the same .	Wubetumi ayɛ saa ara .
How ?	Ɔkwan bɛn so na ɛte saa ?
In what ways ?	Wɔ akwan bɛn so ?
How should we respond ?	Dɛn na ɛsɛ sɛ yɛyɛ wɔ ho ?
“ Give free , ” he said .	Ɔkae sɛ : “ Momfa mma kwa . ”
8 : 1 - 5 , 12 .	8 : 1 - 5 , 12 .
6 : 2 ; 1 Thess .	6 : 2 ; 1 Tes .
5 : 14 .	5 : 14 .
Why is that important ?	Dɛn nti na ɛho hia sɛ wususuw ho ?
Why not ?	Dɛn ntia ?
Of course not .	Ɛnyɛ mfomso ankasa .
116 : 1 , 2 ; Phil .	116 : 1 , 2 ; Filip .
4 : 10 - 13 .	4 : 10 - 13 .
He wants you to do that .	Ɔpɛ sɛ woyɛ saa .
116 : 12	116 : 12
2 : 3 .	2 : 3 .
Why such concern ?	Dɛn nti na na odwen wɔn ho saa ?
2 : 8 .	2 : 8 .
1 : 20 .	1 : 20 .
29 : 38 - 42 ; Lev .	29 : 38 - 42 ; Lev .
5 : 6 , 7 .	5 : 6 , 7 .
16 , 17 .	16 , 17 .
Why ?	Dɛn ntia ?
Keep On Seeking	Monkɔ so Nhwehwɛ
7 : 7 .	7 : 7 .
Do You Recall ?	So Wokae ?
[ Pictures on page 5 ]	[ Kratafa 17 mfonini ]
2 : 21 .	2 : 21 .
8 : 27 - 31 ; Gen .	8 : 27 - 31 ; Gen .
1 : 26 , 27 .	1 : 26 , 27 .
2 : 24 .	2 : 24 .
( Read 1 Peter 3 : 7 . )	( Monkenkan 1 Petro 3 : 7 . )
Illustrate .	Yɛ ho mfatoho .
5 : 28 , 29 .	5 : 28 , 29 .
3 : 5 , 6 ; 1 Tim .	3 : 5 , 6 ; 1 Tim .
2 : 14 .	2 : 14 .
15 : 28 .	15 : 28 .
6 : 4 .	6 : 4 .
How so ?	Ɔkwan bɛn so ?
12 , 13 .	12 , 13 .
6 : 6 .	6 : 6 .
14 , 15 .	14 , 15 .
( Read Luke 2 : 51 . )	( Monkenkan Luka 2 : 51 . )
How do you respond ?	Dɛn na moyɛ wɔ ho ?
12 : 2 .	12 : 2 .
How Would You Answer ?	Wubebua Dɛn ?
[ Picture on page 8 ]	[ Kratafa 9 mfonini ]
[ Picture on page 9 ]	[ Kratafa 9 mfonini ]
[ Picture on page 10 ]	[ Kratafa 10 mfonini ]
Table of Contents	Emu Nsɛm
July 15 , 2009	July 15 , 2009
Study Edition	Nea Adesua Nsɛm Wom
PAGE 3	KRATAFA 3
September 7 - 13 , 2009	September 7 - 13 , 2009
PAGE 7	KRATAFA 7
September 14 - 20 , 2009	September 14 - 20 , 2009
PAGE 15	KRATAFA 15
September 21 - 27 , 2009	September 21 - 27 , 2009
PAGE 19	KRATAFA 19
Purpose of Study Articles	Adesua Nsɛm no Atirimpɔw
How can we find them ?	Yɛbɛyɛ dɛn atumi ahu ?
How do they benefit us ?	Mfaso bɛn na yenya wɔ so ?
ALSO IN THIS ISSUE :	NEA ƐWƆ EYI MU NSO :
PAGE 12	KRATAFA 12
PAGE 24	KRATAFA 24
PAGE 28	KRATAFA 28
PAGE 29	KRATAFA 29
PAGE 32	KRATAFA 32
Keys to Family Happiness	Nea Ɛma Abusua Nya Anigye
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Names have been changed .	Wɔasesa edin ahorow no .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Draw Close to God	Bɛn Onyankopɔn
Jehovah Values Meekness	Yehowa Ani Sɔ Wɔn a Wodwo
Numbers 12 : 1 - 15	Numeri 12 : 1 - 15
Moses ? ”	Mose ? ”
[ Footnote ]	[ Ase hɔ asɛm ]
Table of Contents	Emu Nsɛm
August 15 , 2009	August 15 , 2009
Study Edition	Nea Adesua Nsɛm Wom
PAGE 3	KRATAFA 3
October 5 - 11 , 2009	October 5 - 11 , 2009
PAGE 7	KRATAFA 7
October 12 - 18 , 2009	October 12 - 18 , 2009
PAGE 12	KRATAFA 12
October 19 - 25 , 2009	October 19 - 25 , 2009
PAGE 18	KRATAFA 18
Purpose of Study Articles	Adesua Nsɛm no Atirimpɔw
ALSO IN THIS ISSUE :	NEA ƐWƆ EYI MU NSO :
PAGE 16	KRATAFA 16
Do You Remember ?	So Wokae ?
PAGE 23	KRATAFA 23
PAGE 24	KRATAFA 24
PAGE 28	KRATAFA 28
Did You Once Serve ?	So Woanya Ɔsom Hokwan Bi Pɛn ?
Can You Serve Again ?	So Wubetumi Asom Bio ?
PAGE 30	KRATAFA 30
8 : 20 .	8 : 20 .
What hope ?	Ɛyɛ anidaso bɛn ?
4 : 4 ; 8 : 20 ; Heb .	4 : 4 ; 8 : 20 ; Heb .
11 : 4 .	11 : 4 .
Consider Abraham .	Susuw Abraham ho hwɛ .
8 , 9 .	8 , 9 .
What moved him to speak ?	Dɛn na ɛkaa no ma ɔkasae ?
I have found a ransom !	Manya agyede !
6 : 23 .	6 : 23 .
3 : 13 .	3 : 13 .
133 : 3 .	133 : 3 .
18 , 19 .	18 , 19 .
12 : 13 .	12 : 13 .
[ Footnote ]	[ Ase hɔ asɛm ]
Can You Explain ?	Wubetumi Akyerɛkyerɛ Mu ?
[ Picture on page 5 ]	[ Kratafa 5 mfonini ]
[ Picture on page 6 ]	[ Kratafa 6 mfonini ]
21 : 4 .	21 : 4 .
1 , 2 .	1 , 2 .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Is that true ?	So ɛyɛ ampa ?
65 : 17 .	65 : 17 .
7 , 8 .	7 , 8 .
( Read John 3 : 16 . )	( Monkenkan Yohane 3 : 16 . )
15 , 16 .	15 , 16 .
37 : 29 .	37 : 29 .
( Read 2 Peter 3 : 13 . )	( Monkenkan 2 Petro 3 : 13 . )
22 : 1 , 2 .	22 : 1 , 2 .
Can You Explain ?	Wubetumi Akyerɛkyerɛ Mu ?
[ Picture on page 8 ]	[ Kratafa 9 mfonini ]
[ Pictures on page 10 ]	[ Kratafa 25 mfonini ahorow ]
12 : 4 .	12 : 4 .
1 , 2 .	1 , 2 .
1 : 26 - 28 .	1 : 26 - 28 .
A Hope Obscured	Anidaso a Ɛso Katae
*	*
5 , 6 .	5 , 6 .
12 : 4 ; Matt .	12 : 4 ; Mat .
24 : 14 ; Rev .	24 : 14 ; Adi .
7 : 9 , 10 .	7 : 9 , 10 .
Who were these ?	Henanom na wɔboaa no no ?
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
18 , 19 .	18 , 19 .
8 : 21 .	8 : 21 .
[ Footnote ]	[ Ase hɔ asɛm ]
Can You Explain ?	Wubetumi Akyerɛkyerɛ Mu ?
[ Pictures on page 13 ]	[ Kratafa 18 mfonini ]
[ Pictures on page 15 ]	[ Kratafa 15 mfonini ]
1 , 2 .	1 , 2 .
No .	Dabi .
Of course not !	Ɛda adi sɛ ɛnte saa koraa !
It is the conscience .	Saa akyɛde no ne ahonim .
What is the conscience ?	Dɛn ne ahonim ?
He has a compass .	Ohia kanea a ɔde bɛhwɛ kwan mu .
4 : 2 .	4 : 2 .
8 : 12 ; 2 Cor .	8 : 12 ; 2 Kor .
4 : 2 ; 1 Pet .	4 : 2 ; 1 Pet .
3 : 16 .	3 : 16 .
Respect Authority	Ɛsɛ sɛ Yebu Wɔn a Wodi Tumi
God has not changed .	Onyankopɔn nsesae .
Why ?	Dɛn ntia ?
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
8 : 38 , 39 .	8 : 38 , 39 .
Do You Remember ?	So Wokae ?
[ Picture on page 18 ]	[ Kratafa 16 mfonini ]
Appealing ?	Anka ɛbɛyɛ anigye ?
Hardly .	Ɛnte saa koraa .
Seeing Is Hearing	Wɔde Wɔn Aniwa na Ɛte Asɛm
Can deaf people read ?	So asotifo tumi kenkan ade ?
Why ?	Dɛn ntia ?
Why ?	Dɛn ntia ?
I got it ! ’	Mate ase ! ’
It is . . . ’	Ɛkyerɛ sɛ . . .
Today I do ! ”	Ɛnnɛ de , mete no ase ! ”
Grateful at Heart	Wɔn Ani Sɔ Paa
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
[ Pictures on page 26 ]	[ Kratafa 19 mfonini ]
6 : 24 - 29 .	6 : 24 - 29 .
There were no sentries .	Ná awɛmfo biara nni hɔ .
They helped themselves .	Wodidi nomee .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
7 : 1 - 11 .	7 : 1 - 11 .
[ Picture on page 28 ]	[ Mfonini wɔ kratafa 14 ]
[ Picture on page 29 ]	[ Mfonini wɔ kratafa 29 ]
Did You Once Serve ?	So Woanya Ɔsom Hokwan Bi Pɛn ?
Can You Serve Again ?	So Wubetumi Asom Bio ?
Not in most cases .	Ɛnyɛ bere nyinaa na ɛte saa .
But why desire this ?	Adɛn nti na ɛsɛ sɛ wunya ɔpɛ a ɛte saa ?
Coping With Your Feelings	Atenka Bɔne Ano a Wubegyina
How did this happen ?	Ɔkwan bɛn so na eyi bae ?
33 : 12 , 13 .	33 : 12 , 13 .
There may be setbacks .	Ebia w’abam bebu .
39 : 21 - 23 .	39 : 21 - 23 .
What might you learn ?	Dɛn na wubetumi asua ?
Accept discipline .	Gye nteɛso tom .
5 : 6 ; Jas .	5 : 6 ; Yak .
4 : 10 .	4 : 10 .
Be patient and willing .	Si abotare na nya ɔpɛ .
84 : 11 .	84 : 11 .
[ Blurb on page 30 ]	[ Asɛm a wɔafa aka wɔ kratafa 30 ]
[ Picture on page 31 ]	[ Kratafa 29 mfonini ]
[ Picture on page 32 ]	[ Kratafa 32 mfonini ]
What were the treasures ?	Ná ɛyɛ ademude bɛn ?
Who hid them there ?	Hena na ɔde siee hɔ ?
Do You Remember ?	So Wokae ?
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
No .	Dabi .
Riches That Come From God	Ahonyade a Efi Onyankopɔn Hɔ
And what about today ?	Na ɛnnɛ nso ɛ ?
What Kind of Riches ?	Ahonyade Bɛn na Yenya ?
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
[ Blurb on page 6 ]	[ Asɛm a wɔafa aka wɔ kratafa 6 ]
[ Picture on page 5 ]	[ Kratafa 5 mfonini ]
When You Are Offended	Bere a Obi Ayɛ Wo Bɔne
The question is , how ?	Nanso asɛm no ne sɛ , hena na ɛsɛ sɛ otua no ka ?
The Folly of Revenge	Aweredi de Ɔhaw Pii Ba
The Cycle of Pain	Aweredi a Ɛtoatoa So
“ Eye for Eye ”	“ Aniwa Nsi Aniwa Ananmu ”
How so ?	Ɔkwan bɛn so ?
Follow the Way of Peace	Monhwehwɛ Asomdwoe
How did he react ?	Elia yɛɛ n’ade dɛn ?
By no means !	Ɛnte saa koraa !
[ Blurb on page 22 ]	[ Asɛm a wɔafa aka wɔ kratafa 20 ]
[ Pictures on page 23 ]	[ Kratafa 17 mfonini ahorow ]
126th Gilead Graduation	Gilead Adesua Awiei A Ɛto So 126
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
“ God is not partial . ”	‘ Onyankopɔn nyɛ nyiyim . ’
Love for Jehovah .	Yehowa ho dɔ .
Love for people .	Nnipa ho dɔ .
A willing spirit .	Ahofama .
Youthful vigor .	Babunbere mu ahoɔden .
“ Be a Happy Missionary ”	“ Yɛ Ɔsɛmpatrɛwfo a Ɔwɔ Anigye ”
[ Box on page 30 ]	[ Kratafa 30 adaka ]
CLASS STATISTICS	ADESUAKUW NO HO NSƐM
Number of students : 56	Adesuafo no dodow : 56
Average age : 32.8	Mfe dodow a wɔadi nkyekyɛm : 32.8
CLASS ASSIGNMENTS	AMAN A SUKUUFO NO BƐKƆ SO
[ Picture on page 31 ]	[ Kratafa 29 mfonini ]
( 1 ) Kirchhoff , K .	( 1 ) Kirchhoff , K .
; Nichols , C .	; Nichols , C .
; Guzmán , Y .	; Guzmán , Y .
; Coil , H .	; Coil , H .
; Becker , O .	; Becker , O .
; De Simone , A .	; De Simone , A .
( 2 ) Manzanares , A .	( 2 ) Manzanares , A .
; Bouvier , E .	; Bouvier , E .
; Peddle , J .	; Peddle , J .
; Mason , H .	; Mason , H .
; Braz , J .	; Braz , J .
( 3 ) Lee , J .	( 3 ) Lee , J .
; Forte , A .	; Forte , A .
; Boucher , T .	; Boucher , T .
; Marsh , A .	; Marsh , A .
; Leighton , S .	; Leighton , S .
; Glover , M .	; Glover , M .
( 4 ) Kambach , H .	( 4 ) Kambach , H .
; Jones , T .	; Jones , T .
; Ferreira , A .	; Ferreira , A .
; Morales , J .	; Morales , J .
; Chicas , S .	; Chicas , S .
; Davis , B .	; Davis , B .
; Dormanen , E .	; Dormanen , E .
( 5 ) Dormanen , B .	( 5 ) Dormanen , B .
; Nichols , J .	; Nichols , J .
; Pacho , T .	; Pacho , T .
; Titmas , L .	; Titmas , L .
; Bouvier , E .	; Bouvier , E .
; Kirchhoff , A .	; Kirchhoff , A .
( 6 ) Leighton , G .	( 6 ) Leighton , G .
; Pacho , A .	; Pacho , A .
; Van Campen , B .	; Van Campen , B .
; Manzanares , A .	; Manzanares , A .
; Rivard , A .	; Rivard , A .
; Lee , Y .	; Lee , Y .
; Titmas , L .	; Titmas , L .
( 7 ) Boucher , M .	( 7 ) Boucher , M .
; Coil , K .	; Coil , K .
; Marsh , C .	; Marsh , C .
; Guzmán , J .	; Guzmán , J .
; Jones , W .	; Jones , W .
; Kambach , J .	; Kambach , J .
( 8 ) Glover , A .	( 8 ) Glover , A .
; Ferreira , G .	; Ferreira , G .
; Mason , E .	; Mason , E .
; Forte , D .	; Forte , D .
; Davis , N .	; Davis , N .
; Chicas , O .	; Chicas , O .
; Rivard , Y .	; Rivard , Y .
( 9 ) Braz , D .	( 9 ) Braz , D .
; Van Campen , D .	; Van Campen , D .
; Morales , A .	; Morales , A .
; De Simone , M .	; De Simone , M .
; Becker , M .	; Becker , M .
; Peddle , D .	; Peddle , D .
Table of Contents	Emu Nsɛm
September 15 , 2009	September 15 , 2009
Study Edition	Nea Adesua Nsɛm Wom
PAGE 7	KRATAFA 7
November 2 - 8 , 2009	November 2 - 8 , 2009
PAGE 11	KRATAFA 11
November 9 - 15 , 2009	November 9 - 15 , 2009
PAGE 16	KRATAFA 16
November 16 - 22 , 2009	November 16 - 22 , 2009
PAGE 21	KRATAFA 21
November 23 - 29 , 2009	November 23 - 29 , 2009
PAGE 25	KRATAFA 25
Purpose of Study Articles	Adesua Nsɛm no Atirimpɔw
At what cost ?	Dɛn na na ɛsɛ sɛ Yehowa de bɔ afɔre ?
ALSO IN THIS ISSUE :	NEA ƐWƆ EYI MU NSO :
PAGE 3	KRATAFA 3
I Found Meaning in Life	Minyaa Biribi a Ɛsom Bo wɔ Asetena Mu
PAGE 30	KRATAFA 30
15 : 5 .	15 : 5 .
What could they learn ?	Dɛn na wotumi suae ?
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
he asked .	Afei da koro bi , onyaa Yehowa Adansefo nhoma bi a ɛkyerɛkyerɛ Bible mu .
4 , 5 .	4 , 5 .
No !	Dabi !
20 : 20 - 28 .	20 : 20 - 28 .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
( Read Luke 9 : 11 . )	( Monkenkan Luka 9 : 11 . )
Jesus was like that .	Saa ara na na Yesu te .
9 : 35 , 36 .	9 : 35 , 36 .
Consider one instance .	Susuw nhwɛso bi ho hwɛ .
Far from it !	Ɛnte saa ankasa !
Go in peace . ”	Fa asomdwoe kɔ . ”
3 : 1 - 3 .	3 : 1 - 3 .
How can we do so ?	Yɛbɛyɛ dɛn atumi ayɛ saa ?
17 , 18 .	17 , 18 .
32 : 2 ; Matt .	32 : 2 ; Mat .
11 : 28 - 30 .	11 : 28 - 30 .
Reach out !	Yɛ biribi pɔtee fa boa wɔn !
4 : 32 .	4 : 32 .
Can You Explain ?	Wubetumi Akyerɛkyerɛ Mu ?
[ Picture on page 8 ]	[ Kratafa 9 mfonini ]
[ Picture on page 10 ]	[ Kratafa 10 mfonini ]
“ Take courage !	‘ Monhyɛ den !
2 , 3 .	2 , 3 .
( Read Hebrews 5 : 7 . )	( Monkenkan Hebrifo 5 : 7 . )
What does that mean ?	Eyi kyerɛ dɛn ?
1 : 8 .	1 : 8 .
6 , 7 .	6 , 7 .
( Read . )	( Monkenkan . )
What will you do ?	Dɛn na wobɛyɛ ?
31 : 24 .	31 : 24 .
Learn Courage From Jesus	Momma Yensuasua Kristo Akokoduru no Bi
12 - 14 .	12 - 14 .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
23 : 34 ; 24 : 9 .	23 : 34 ; 24 : 9 .
